Financial Year,Month,Local Board,Location Name,_Sum of Checkouts Actual
FY18,Jan,Albert - Eden,Epsom,24622
FY18,Jan,Other,Events Library,9
FY18,Jan,Waitakere Ranges,Glen Eden,18754
FY18,Jan,Maungakiekie-Tamaki,Glen Innes,6846
FY18,Jan,Kaipatiki,Glenfield,29634
FY18,Jan,Great Barrier,Great Barrier,1273
FY18,Jan,Waitemata,Grey Lynn,11481
FY18,Jan,Rodney,Helensville,5553
FY18,Jan,Henderson - Massey,Henderson,22220
FY18,Jan,Howick,Highland Park,30984
FY18,Jan,Howick,Howick,27400
FY18,Jan,Rodney,Kumeu,13152
FY18,Jan,Waitemata,Leys Institute,10826
FY18,Jan,Waitemata,Leys Institute Little,0
FY18,Jan,Other,Library Connect,164
FY18,Jan,Rodney,Mahurangi East,7629
FY18,Jan,Mangere-Otahuhu,Mangere Bridge,8867
FY18,Jan,Mangere-Otahuhu,Mangere East,2875
FY18,Jan,Mangere-Otahuhu,Mangere Town Centre,3338
FY18,Jan,Otara-Papatoetoe,Manukau,8126
FY18,Jan,Manurewa,Manurewa,15374
FY18,Jan,Henderson - Massey,Massey,27464
FY18,Jan,Mobile Libraries,Mobile Central,997
FY18,Jan,Mobile Libraries,Mobile North,1462
FY18,Jan,Mobile Libraries,Mobile South & East,1142
FY18,Jan,Mobile Libraries,Mobile West & Central,1037
FY18,Jan,Albert - Eden,Mt Albert,34814
FY18,Jan,Puketapapa,Mt Roskill,33636
FY18,Jan,Whau,New Lynn,22294
FY18,Jan,Kaipatiki,Northcote,10801
FY18,Jan,Maungakiekie-Tamaki,Onehunga,17204
FY18,Jan,Other,Online Renewals,0
FY18,Jan,Hibiscus and Bays,Orewa,31818
FY18,Jan,Mangere-Otahuhu,Otahuhu,4521
FY18,Jan,Otara-Papatoetoe,Otara,2010
FY18,Jan,Other,Other,0
FY18,Jan,Howick,Pakuranga,21603
FY18,Jan,Maungakiekie-Tamaki,Panmure,12835
FY18,Jan,Papakura,Papakura,23396
FY18,Jan,Otara-Papatoetoe,Papatoetoe,11423
FY18,Jan,Waitemata,Parnell,10615
FY18,Jan,Albert - Eden,Pt Chevalier,14487
FY18,Jan,Franklin,Pukekohe,25359
FY18,Jan,Henderson - Massey,Ranui,10459
FY18,Jan,Orakei,Remuera,29493
FY18,Jan,Orakei,St Heliers,33976
FY18,Jan,Devonport - Takapuna,Takapuna,36037
FY18,Jan,Henderson - Massey,Te Atatu Peninsula,14564
FY18,Jan,Henderson - Massey,Te Manawa,0
FY18,Jan,Waitakere Ranges,Titirangi,16018
FY18,Jan,Otara-Papatoetoe,Tupu,1187
FY18,Jan,Waiheke,Waiheke,14431
FY18,Jan,Franklin,Waiuku,9972
FY18,Jan,Rodney,Warkworth,14365
FY18,Jan,Rodney,Wellsford,6323
FY18,Jan,Hibiscus and Bays,Whangaparaoa,23119
FY18,Feb,Upper Harbour,Albany Village,19361
FY18,Feb,Other,Art Gallery,25
FY18,Feb,Whau,Avondale,7544
FY18,Feb,Kaipatiki,Birkenhead,21221
FY18,Feb,Whau,Blockhouse Bay,17567
FY18,Feb,Howick,Botany,27720
FY18,Feb,Waitemata,Central City,31463
FY18,Feb,Manurewa,Clendon,3661
FY18,Feb,Other,Content and Access,75
FY18,Feb,Other,Corporate,71
FY18,Feb,Other,Debt,0
FY18,Feb,Devonport - Takapuna,Devonport,18871
FY18,Feb,Other,Digital Library,0
FY18,Feb,Hibiscus and Bays,East Coast Bays,44917
FY18,Feb,Albert - Eden,Epsom,22269
FY18,Feb,Other,Events Library,12
FY18,Feb,Waitakere Ranges,Glen Eden,16869
FY18,Feb,Maungakiekie-Tamaki,Glen Innes,6554
FY18,Feb,Kaipatiki,Glenfield,26785
FY18,Feb,Great Barrier,Great Barrier,992
FY18,Feb,Waitemata,Grey Lynn,11356
FY18,Feb,Rodney,Helensville,5800
FY18,Feb,Henderson - Massey,Henderson,20701
FY18,Feb,Howick,Highland Park,27022
FY18,Feb,Howick,Howick,25275
FY18,Feb,Rodney,Kumeu,11498
FY18,Feb,Waitemata,Leys Institute,10498
FY18,Feb,Waitemata,Leys Institute Little,0
FY18,Feb,Other,Library Connect,169
FY18,Feb,Rodney,Mahurangi East,6210
FY18,Feb,Mangere-Otahuhu,Mangere Bridge,8080
FY18,Feb,Mangere-Otahuhu,Mangere East,2459
FY18,Feb,Mangere-Otahuhu,Mangere Town Centre,2842
FY18,Feb,Otara-Papatoetoe,Manukau,6987
FY18,Feb,Manurewa,Manurewa,14453
FY18,Feb,Henderson - Massey,Massey,25009
FY18,Feb,Mobile Libraries,Mobile Central,1009
FY18,Feb,Mobile Libraries,Mobile North,1112
FY18,Feb,Mobile Libraries,Mobile South & East,2960
FY18,Feb,Mobile Libraries,Mobile West & Central,982
FY18,Feb,Albert - Eden,Mt Albert,31504
FY18,Feb,Puketapapa,Mt Roskill,29932
FY18,Feb,Whau,New Lynn,19248
FY18,Feb,Kaipatiki,Northcote,10483
FY18,Feb,Maungakiekie-Tamaki,Onehunga,15811
FY18,Feb,Other,Online Renewals,0
FY18,Feb,Hibiscus and Bays,Orewa,28489
FY18,Feb,Mangere-Otahuhu,Otahuhu,4461
FY18,Feb,Otara-Papatoetoe,Otara,1775
FY18,Feb,Other,Other,0
FY18,Feb,Howick,Pakuranga,19628
FY18,Feb,Maungakiekie-Tamaki,Panmure,11699
FY18,Feb,Papakura,Papakura,20098
FY18,Feb,Otara-Papatoetoe,Papatoetoe,9301
FY18,Feb,Waitemata,Parnell,10561
FY18,Feb,Albert - Eden,Pt Chevalier,12814
FY18,Feb,Franklin,Pukekohe,23784
FY18,Feb,Henderson - Massey,Ranui,9032
FY18,Feb,Orakei,Remuera,27008
FY18,Feb,Orakei,St Heliers,31834
FY18,Feb,Devonport - Takapuna,Takapuna,32248
FY18,Feb,Henderson - Massey,Te Atatu Peninsula,12825
FY18,Feb,Henderson - Massey,Te Manawa,0
FY18,Feb,Waitakere Ranges,Titirangi,13646
FY18,Feb,Otara-Papatoetoe,Tupu,1201
FY18,Feb,Waiheke,Waiheke,11586
FY18,Feb,Franklin,Waiuku,8466
FY18,Feb,Rodney,Warkworth,11896
FY18,Feb,Rodney,Wellsford,5809
FY18,Feb,Hibiscus and Bays,Whangaparaoa,21034
FY18,Mar,Upper Harbour,Albany Village,21094
